status,visibility,sku,store_view_code,attribute_set_code,product_type,product_websites,url_key,name,description,short_description,product_online,price,special_price,special_price_from_date,special_price_to_date,qty,is_in_stock,tax_class_id,categories,configurable_variation_labels,additional_attributes,configurable_variations
1,Not Visible Individually,A009606-V,,Default,simple,base,CINTURA-CUOIO-VOLLONATO-EFFETTO-USED-FIBBIA-SILVER-AMERICA-NERO-A009606-V,CINTURA CUOIO VOLLONATO EFFETTO USED FIBBIA SILVER AMERICA NERO,,,1,20.000000,10.000000,2022-07-01,2022-12-31,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1199,sys_color_description=NERO,sys_color_hex=10101,sys_modello=IR 10035CI 321,sys_size=V,composizione=100% PELLE,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI21,cod=IR 10035CI 321-C1199-V,sys_barcode=2100037467055",
1,"Catalog, Search",A009606,,Default,configurable,base,CINTURA-CUOIO-VOLLONATO-EFFETTO-USED-FIBBIA-SILVER-AMERICA-NERO-A009606,CINTURA CUOIO VOLLONATO EFFETTO USED FIBBIA SILVER AMERICA NERO,,,1,20.000000,10.000000,2022-07-01,2022-12-31,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1199,sys_color_description=NERO,sys_color_hex=10101,sys_modello=IR 10035CI 321,sys_size=V,composizione=100% PELLE,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI21,cod=IR 10035CI 321-C1199,sys_barcode=2100037467048|2100037467024|2100037467017|2100037467031|2100037467055","sku=A009606-IV,sys_size=IV|sku=A009606-II,sys_size=II|sku=A009606-I,sys_size=I|sku=A009606-III,sys_size=III|sku=A009606-V,sys_size=V"
1,Not Visible Individually,A009607-III,,Default,simple,base,CINTURA-CUOIO-VOLLONATO-EFFETTO-USED-FIBBIA-SILVER-AMERICA-MORO-A009607-III,CINTURA CUOIO VOLLONATO EFFETTO USED FIBBIA SILVER AMERICA MORO,,,1,20.000000,10.000000,2022-07-01,2022-12-31,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1590,sys_color_description=MORO,sys_color_hex=261202,sys_modello=IR 10035CI 321,sys_size=III,composizione=100% PELLE,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI21,cod=IR 10035CI 321-C1590-III,sys_barcode=2100037468038",
1,Not Visible Individually,A009607-I,,Default,simple,base,CINTURA-CUOIO-VOLLONATO-EFFETTO-USED-FIBBIA-SILVER-AMERICA-MORO-A009607-I,CINTURA CUOIO VOLLONATO EFFETTO USED FIBBIA SILVER AMERICA MORO,,,1,20.000000,10.000000,2022-07-01,2022-12-31,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1590,sys_color_description=MORO,sys_color_hex=261202,sys_modello=IR 10035CI 321,sys_size=I,composizione=100% PELLE,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI21,cod=IR 10035CI 321-C1590-I,sys_barcode=2100037468014",
1,Not Visible Individually,A009607-IV,,Default,simple,base,CINTURA-CUOIO-VOLLONATO-EFFETTO-USED-FIBBIA-SILVER-AMERICA-MORO-A009607-IV,CINTURA CUOIO VOLLONATO EFFETTO USED FIBBIA SILVER AMERICA MORO,,,1,20.000000,10.000000,2022-07-01,2022-12-31,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1590,sys_color_description=MORO,sys_color_hex=261202,sys_modello=IR 10035CI 321,sys_size=IV,composizione=100% PELLE,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI21,cod=IR 10035CI 321-C1590-IV,sys_barcode=2100037468045",
1,Not Visible Individually,A009607-II,,Default,simple,base,CINTURA-CUOIO-VOLLONATO-EFFETTO-USED-FIBBIA-SILVER-AMERICA-MORO-A009607-II,CINTURA CUOIO VOLLONATO EFFETTO USED FIBBIA SILVER AMERICA MORO,,,1,20.000000,10.000000,2022-07-01,2022-12-31,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1590,sys_color_description=MORO,sys_color_hex=261202,sys_modello=IR 10035CI 321,sys_size=II,composizione=100% PELLE,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI21,cod=IR 10035CI 321-C1590-II,sys_barcode=2100037468021",
1,Not Visible Individually,A009607-V,,Default,simple,base,CINTURA-CUOIO-VOLLONATO-EFFETTO-USED-FIBBIA-SILVER-AMERICA-MORO-A009607-V,CINTURA CUOIO VOLLONATO EFFETTO USED FIBBIA SILVER AMERICA MORO,,,1,20.000000,10.000000,2022-07-01,2022-12-31,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1590,sys_color_description=MORO,sys_color_hex=261202,sys_modello=IR 10035CI 321,sys_size=V,composizione=100% PELLE,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI21,cod=IR 10035CI 321-C1590-V,sys_barcode=2100037468052",
1,"Catalog, Search",A009607,,Default,configurable,base,CINTURA-CUOIO-VOLLONATO-EFFETTO-USED-FIBBIA-SILVER-AMERICA-MORO-A009607,CINTURA CUOIO VOLLONATO EFFETTO USED FIBBIA SILVER AMERICA MORO,,,1,20.000000,10.000000,2022-07-01,2022-12-31,0.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1590,sys_color_description=MORO,sys_color_hex=261202,sys_modello=IR 10035CI 321,sys_size=V,composizione=100% PELLE,gruppo_articoli=AC-ACCESSORI,variante=CI,campagna_acquisti=AI21,cod=IR 10035CI 321-C1590,sys_barcode=2100037468038|2100037468014|2100037468045|2100037468021|2100037468052","sku=A009607-III,sys_size=III|sku=A009607-I,sys_size=I|sku=A009607-IV,sys_size=IV|sku=A009607-II,sys_size=II|sku=A009607-V,sys_size=V"
1,Not Visible Individually,A011370-PZ,,Default,simple,base,ZAINO-MONOSPALLA-NERO-A011370-PZ,ZAINO MONOSPALLA NERO,,,1,15.000000,0,1990-01-01,1990-01-01,10.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1199,sys_color_description=NERO,sys_color_hex=10101,sys_modello=LX 10075BS 322,sys_size=PZ,gruppo_articoli=AC-ACCESSORI,variante=BS,campagna_acquisti=AI22,cod=LX 10075BS 322-C1199-PZ,sys_barcode=2100039231012",
1,"Catalog, Search",A011370,,Default,configurable,base,ZAINO-MONOSPALLA-NERO-A011370,ZAINO MONOSPALLA NERO,,,1,15.000000,0,1990-01-01,1990-01-01,10.000000,1,,Default Category,sys_size=Taglia,"sys_category=118,sys_color=C1199,sys_color_description=NERO,sys_color_hex=10101,sys_modello=LX 10075BS 322,sys_size=PZ,gruppo_articoli=AC-ACCESSORI,variante=BS,campagna_acquisti=AI22,cod=LX 10075BS 322-C1199,sys_barcode=2100039231012","sku=A011370-PZ,sys_size=PZ"
